#com.redshiftdev.Sync-Solver-Health-Export (2.3.31),,
asleep-start-date-time,asleep-end-date-time,minutes-asleep
2017-02-13T04:01:00-05:00,2017-02-13T06:39:00-05:00,158
2017-02-13T06:45:00-05:00,2017-02-13T07:15:00-05:00,30
2017-02-13T23:37:00-05:00,2017-02-14T07:04:00-05:00,447
2017-02-14T22:11:00-05:00,2017-02-14T22:17:00-05:00,6
2017-02-14T23:09:00-05:00,2017-02-15T00:14:00-05:00,65
2017-02-15T00:24:00-05:00,2017-02-15T05:00:00-05:00,276
2017-02-15T05:15:00-05:00,2017-02-15T06:00:00-05:00,45
2017-02-15T22:30:00-05:00,2017-02-15T23:29:00-05:00,59
2017-02-15T23:30:00-05:00,2017-02-16T06:45:00-05:00,435
2017-02-16T23:15:00-05:00,2017-02-17T01:47:00-05:00,152
2017-02-17T02:15:00-05:00,2017-02-17T05:01:00-05:00,166
2017-02-17T06:15:00-05:00,2017-02-17T07:14:00-05:00,59
2017-02-17T23:16:00-05:00,2017-02-18T06:58:00-05:00,462
2017-02-18T08:00:00-05:00,2017-02-18T09:42:00-05:00,102
2017-02-18T23:37:00-05:00,2017-02-19T05:23:00-05:00,346
2017-02-19T06:32:00-05:00,2017-02-19T07:05:00-05:00,33
2017-02-19T12:57:00-05:00,2017-02-19T13:44:00-05:00,47
2017-02-19T22:15:00-05:00,2017-02-20T00:22:00-05:00,127
2017-02-20T00:29:00-05:00,2017-02-20T02:59:00-05:00,150
2017-02-20T03:46:00-05:00,2017-02-20T05:18:00-05:00,92
2017-02-20T05:39:00-05:00,2017-02-20T07:29:00-05:00,110
2017-02-20T08:45:00-05:00,2017-02-20T08:59:00-05:00,14
2017-02-20T11:30:00-05:00,2017-02-20T11:46:00-05:00,16
2017-02-20T13:30:00-05:00,2017-02-20T13:40:00-05:00,10
2017-02-20T14:49:00-05:00,2017-02-20T15:08:00-05:00,19
2017-02-21T11:08:00-05:00,2017-02-21T13:00:00-05:00,112
2017-02-21T22:17:00-05:00,2017-02-21T23:21:00-05:00,64
2017-02-21T23:25:00-05:00,2017-02-22T06:23:00-05:00,418
2017-02-22T23:46:00-05:00,2017-02-23T00:36:00-05:00,50
2017-02-23T00:59:00-05:00,2017-02-23T07:18:00-05:00,379
2017-02-23T22:49:00-05:00,2017-02-24T03:53:00-05:00,304
2017-02-24T04:21:00-05:00,2017-02-24T07:00:00-05:00,159
2017-02-24T22:00:00-05:00,2017-02-25T05:30:00-05:00,450
2017-02-25T11:00:00-05:00,2017-02-25T11:30:00-05:00,30
2017-02-25T23:37:00-05:00,2017-02-26T08:19:00-05:00,522
2017-02-26T09:02:00-05:00,2017-02-26T09:29:00-05:00,27
2017-02-26T22:00:00-05:00,2017-02-27T03:38:00-05:00,338
2017-02-27T03:45:00-05:00,2017-02-27T04:29:00-05:00,44
2017-02-27T05:18:00-05:00,2017-02-27T05:58:00-05:00,40
2017-02-27T06:16:00-05:00,2017-02-27T07:31:00-05:00,75
2017-02-27T22:00:00-05:00,2017-02-28T07:25:00-05:00,565
2017-02-28T22:19:00-05:00,2017-02-28T23:01:00-05:00,42
2017-02-28T23:18:00-05:00,2017-03-01T03:43:00-05:00,265
2017-03-01T04:12:00-05:00,2017-03-01T04:39:00-05:00,27
2017-03-01T04:45:00-05:00,2017-03-01T07:29:00-05:00,164
2017-03-01T22:47:00-05:00,2017-03-02T06:00:00-05:00,433
2017-03-02T23:02:00-05:00,2017-03-03T04:35:00-05:00,333
2017-03-03T05:02:00-05:00,2017-03-03T07:39:00-05:00,157
2017-03-03T08:00:00-05:00,2017-03-03T08:14:00-05:00,14
2017-03-04T00:20:00-05:00,2017-03-04T04:18:00-05:00,238
2017-03-04T04:31:00-05:00,2017-03-04T08:01:00-05:00,210
2017-03-04T08:18:00-05:00,2017-03-04T09:42:00-05:00,84
2017-03-05T01:50:00-05:00,2017-03-05T08:55:00-05:00,425
2017-03-05T09:03:00-05:00,2017-03-05T09:49:00-05:00,46
2017-03-05T10:33:00-05:00,2017-03-05T12:32:00-05:00,119
2017-03-05T16:20:00-05:00,2017-03-05T16:47:00-05:00,27
2017-03-05T22:45:00-05:00,2017-03-06T01:29:00-05:00,164
2017-03-06T03:46:00-05:00,2017-03-06T04:05:00-05:00,19
2017-03-06T04:16:00-05:00,2017-03-06T04:33:00-05:00,17
2017-03-06T12:29:00-05:00,2017-03-06T14:29:00-05:00,120
2017-03-06T22:00:00-05:00,2017-03-07T03:31:00-05:00,331
2017-03-07T04:32:00-05:00,2017-03-07T07:41:00-05:00,189
2017-03-08T02:15:00-05:00,2017-03-08T07:45:00-05:00,330
2017-03-08T12:16:00-05:00,2017-03-08T13:04:00-05:00,48
2017-03-08T22:30:00-05:00,2017-03-09T03:32:00-05:00,302
