#com.redshiftdev.Sync-Solver-Health-Export (2.3.31),,
in-bed-start-date-time,in-bed-end-date-time,minutes-in-bed
2017-03-18T00:50:00-04:00,2017-03-18T11:14:00-04:00,624
2017-03-19T00:19:00-04:00,2017-03-19T07:43:00-04:00,444
2017-03-19T23:32:00-04:00,2017-03-20T09:52:00-04:00,620
2017-03-21T00:46:00-04:00,2017-03-21T08:17:00-04:00,451
2017-03-21T23:36:00-04:00,2017-03-22T07:17:00-04:00,461
2017-03-23T01:03:00-04:00,2017-03-23T03:51:00-04:00,168
2017-03-23T06:45:00-04:00,2017-03-23T10:00:00-04:00,195
2017-03-23T23:16:00-04:00,2017-03-24T03:01:00-04:00,225
2017-03-24T16:18:00-04:00,2017-03-24T18:45:00-04:00,147
2017-03-24T22:16:00-04:00,2017-03-25T08:55:00-04:00,639
2017-03-26T00:30:00-04:00,2017-03-26T01:13:00-04:00,43
2017-03-26T03:00:00-04:00,2017-03-26T08:27:00-04:00,327
2017-03-26T22:05:00-04:00,2017-03-27T00:29:00-04:00,144
2017-03-27T02:15:00-04:00,2017-03-27T02:55:00-04:00,40
2017-03-27T07:02:00-04:00,2017-03-27T08:01:00-04:00,59
2017-03-27T22:04:00-04:00,2017-03-28T07:00:00-04:00,536
2017-03-29T00:47:00-04:00,2017-03-29T04:09:00-04:00,202
2017-03-29T10:46:00-04:00,2017-03-29T12:29:00-04:00,103
2017-03-29T23:30:00-04:00,2017-03-30T08:09:00-04:00,519
2017-03-30T16:45:00-04:00,2017-03-30T17:00:00-04:00,15
2017-03-31T00:36:00-04:00,2017-03-31T06:50:00-04:00,374
2017-03-31T14:50:00-04:00,2017-03-31T15:38:00-04:00,48
2017-03-31T23:21:00-04:00,2017-04-01T06:09:00-04:00,408
2017-04-02T00:15:00-04:00,2017-04-02T11:50:00-04:00,695
2017-04-02T23:18:00-04:00,2017-04-03T06:38:00-04:00,440
2017-04-04T00:30:00-04:00,2017-04-04T06:42:00-04:00,372
2017-04-04T22:53:00-04:00,2017-04-05T06:46:00-04:00,473
2017-04-06T01:42:00-04:00,2017-04-06T06:18:00-04:00,276
2017-04-06T22:15:00-04:00,2017-04-07T03:30:00-04:00,315
2017-04-07T05:45:00-04:00,2017-04-07T06:00:00-04:00,15
2017-04-07T23:17:00-04:00,2017-04-08T07:30:00-04:00,493
2017-04-08T22:06:00-04:00,2017-04-09T08:41:00-04:00,635
2017-04-09T21:30:00-04:00,2017-04-10T03:32:00-04:00,362
2017-04-10T23:45:00-04:00,2017-04-11T01:00:00-04:00,75
2017-04-11T02:45:00-04:00,2017-04-11T03:45:00-04:00,60
2017-04-11T05:16:00-04:00,2017-04-11T06:29:00-04:00,73
2017-04-11T16:38:00-04:00,2017-04-11T17:00:00-04:00,22
2017-04-11T23:45:00-04:00,2017-04-12T01:30:00-04:00,105
2017-04-12T03:31:00-04:00,2017-04-12T05:09:00-04:00,98
2017-04-13T01:28:00-04:00,2017-04-13T05:30:00-04:00,242
2017-04-13T14:16:00-04:00,2017-04-13T15:15:00-04:00,59
2017-04-14T09:15:00-04:00,2017-04-14T11:30:00-04:00,135
2017-04-14T16:45:00-04:00,2017-04-14T17:13:00-04:00,28
2017-04-15T23:16:00-04:00,2017-04-16T03:27:00-04:00,251
2017-04-16T05:15:00-04:00,2017-04-16T08:18:00-04:00,183
2017-04-17T00:06:00-04:00,2017-04-17T05:15:00-04:00,309
2017-04-17T13:30:00-04:00,2017-04-17T13:59:00-04:00,29
2017-04-17T22:42:00-04:00,2017-04-18T07:12:00-04:00,510
2017-04-18T14:09:00-04:00,2017-04-18T15:07:00-04:00,58
2017-04-18T22:57:00-04:00,2017-04-19T05:31:00-04:00,394
2017-04-21T00:15:00-04:00,2017-04-21T07:29:00-04:00,434
2017-04-23T00:15:00-04:00,2017-04-23T08:57:00-04:00,522
2017-04-23T13:05:00-04:00,2017-04-23T13:37:00-04:00,32
2017-04-23T23:30:00-04:00,2017-04-24T05:29:00-04:00,359
2017-04-24T22:00:00-04:00,2017-04-25T06:52:00-04:00,532
2017-04-25T13:45:00-04:00,2017-04-25T13:58:00-04:00,13
2017-04-26T00:00:00-04:00,2017-04-26T07:42:00-04:00,462
2017-04-26T21:50:00-04:00,2017-04-27T07:00:00-04:00,550
2017-04-27T22:17:00-04:00,2017-04-28T06:00:00-04:00,463
2017-04-28T21:45:00-04:00,2017-04-29T09:00:00-04:00,675
2017-04-30T01:11:00-04:00,2017-04-30T12:33:00-04:00,682
2017-05-01T01:16:00-04:00,2017-05-01T07:15:00-04:00,359
2017-05-01T23:54:00-04:00,2017-05-02T00:30:00-04:00,36
2017-05-02T02:10:00-04:00,2017-05-02T07:57:00-04:00,347
2017-05-03T00:30:00-04:00,2017-05-03T07:00:00-04:00,390
2017-05-04T00:16:00-04:00,2017-05-04T05:15:00-04:00,299
2017-05-04T22:41:00-04:00,2017-05-05T06:46:00-04:00,485
2017-05-06T01:32:00-04:00,2017-05-06T06:28:00-04:00,296
2017-05-06T21:17:00-04:00,2017-05-07T07:37:00-04:00,620
2017-05-07T23:45:00-04:00,2017-05-08T04:45:00-04:00,300
2017-05-08T06:17:00-04:00,2017-05-08T07:15:00-04:00,58
